Actual Values,Predicted Values,Residuals
843.05,780.75446,62.295544433593705
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
4408.86,3954.3625,454.4974511718747
0.0,0.0,0.0
69.49,42.308193,27.181806793212886
0.0,0.0,0.0
0.0,0.0,0.0
1171.81,1960.1469,-788.3368505859376
0.0,0.0,0.0
0.0,0.0,0.0
1688.07,1177.7195,510.35051757812494
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2819.78,1803.7957,1015.9843457031252
0.0,0.0,0.0
443.22,205.53706,237.68293640136721
0.0,0.0,0.0
4490.42,2920.4636,1569.956376953125
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
210.42,436.9575,-226.5374890136719
0.0,0.0,0.0
1888.07,1079.6445,808.4254687499999
0.0,0.0,0.0
0.0,0.0,0.0
907.29,1578.4236,-671.133583984375
0.0,0.0,0.0
0.0,0.0,0.0
107.12,64.5063,42.61369812011719
0.0,0.0,0.0
4192.13,3420.8054,771.3245800781251
1137.71,1561.6365,-423.92647460937496
2654.22,3193.8088,-539.5888378906252
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1144.73,1233.493,-88.76304199218748
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
611.98,518.32117,93.65883300781252
94.26,178.6799,-84.41990112304687
67.29,38.807255,28.48274520874024
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
5726.91,5252.342,474.56820312499985
0.0,0.0,0.0
0.0,0.0,0.0
