timestamp,solar_elevationdegrees,solar_azimuthdegrees,solar_declinationdegrees,hour_angledegrees
2025-01-01 00:00,-65.14,22.21,-23,-169.73
2025-01-01 01:00,-58.96,42.86,-23,-154.73
2025-01-01 02:00,-50.1,52.2,-23,-139.73
2025-01-01 03:00,-40.13,55.83,-23,-124.73
2025-01-01 04:00,-29.82,56.38,-23,-109.73
2025-01-01 05:00,-19.6,54.9,-23,-94.73
2025-01-01 06:00,-9.79,51.71,-23,-79.73
2025-01-01 07:00,-0.71,46.79,-23,-64.73
2025-01-01 08:00,7.29,39.86,-23,-49.73
2025-01-01 09:00,13.78,30.55,-23,-34.73
2025-01-01 10:00,18.3,18.65,-23,-19.73
2025-01-01 11:00,20.43,4.64,-23,-4.73
2025-01-01 12:00,19.94,350.01,-23,10.27
2025-01-01 13:00,16.89,336.66,-23,25.27
2025-01-01 14:00,11.59,325.71,-23,40.27
2025-01-01 15:00,4.49,317.32,-23,55.27
2025-01-01 16:00,-3.96,311.18,-23,70.27
2025-01-01 17:00,-13.35,306.92,-23,85.27
2025-01-01 18:00,-23.34,304.35,-23,100.27
2025-01-01 19:00,-33.64,303.55,-23,115.27
2025-01-01 20:00,-43.88,305.06,-23,130.27
2025-01-01 21:00,-53.56,310.36,-23,145.27
2025-01-01 22:00,-61.68,323.08,-23,160.27
2025-01-01 23:00,-66.26,349.22,-23,175.27
2025-01-02 00:00,-65.09,21.95,-22.92,-169.84
2025-01-02 01:00,-58.95,42.69,-22.92,-154.84
2025-01-02 02:00,-50.11,52.11,-22.92,-139.84
2025-01-02 03:00,-40.15,55.78,-22.92,-124.84
2025-01-02 04:00,-29.84,56.37,-22.92,-109.84
2025-01-02 05:00,-19.62,54.91,-22.92,-94.84
2025-01-02 06:00,-9.8,51.75,-22.92,-79.84
2025-01-02 07:00,-0.71,46.85,-22.92,-64.84
2025-01-02 08:00,7.31,39.95,-22.92,-49.84
2025-01-02 09:00,13.81,30.66,-22.92,-34.84
2025-01-02 10:00,18.35,18.77,-22.92,-19.84
2025-01-02 11:00,20.5,4.75,-22.92,-4.84
2025-01-02 12:00,20.04,350.11,-22.92,10.16
2025-01-02 13:00,17,336.73,-22.92,25.16
2025-01-02 14:00,11.71,325.75,-22.92,40.16
2025-01-02 15:00,4.61,317.35,-22.92,55.16
2025-01-02 16:00,-3.83,311.2,-22.92,70.16
2025-01-02 17:00,-13.22,306.94,-22.92,85.16
2025-01-02 18:00,-23.21,304.37,-22.92,100.16
2025-01-02 19:00,-33.51,303.57,-22.92,115.16
2025-01-02 20:00,-43.75,305.08,-22.92,130.16
2025-01-02 21:00,-53.43,310.35,-22.92,145.16
2025-01-02 22:00,-61.56,323,-22.92,160.16
2025-01-02 23:00,-66.16,349,-22.92,175.16
2025-01-03 00:00,-65.04,21.68,-22.83,-169.95
2025-01-03 01:00,-58.94,42.52,-22.83,-154.95
2025-01-03 02:00,-50.12,52.01,-22.83,-139.95
2025-01-03 03:00,-40.17,55.74,-22.83,-124.95
2025-01-03 04:00,-29.86,56.35,-22.83,-109.95
2025-01-03 05:00,-19.63,54.92,-22.83,-94.95
2025-01-03 06:00,-9.81,51.79,-22.83,-79.95
2025-01-03 07:00,-0.7,46.91,-22.83,-64.95
2025-01-03 08:00,7.33,40.03,-22.83,-49.95
2025-01-03 09:00,13.85,30.76,-22.83,-34.95
2025-01-03 10:00,18.41,18.89,-22.83,-19.95
2025-01-03 11:00,20.59,4.87,-22.83,-4.95
